Ana Kamera Flaş,Ana Kamera Çözünürlül Aralığı,Arka Kamera Sayısı,Arttırılabilir Hafıza (Hafıza Kartı Desteği),Batarya Kapasitesi Aralığı,Bağlantılar,Bluetooth,CPU Aralık,Cep Telefonu Modeli,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme Hızı,Ekran Çözünürlüğü,GPS,Garanti Tipi,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Şarj,Kamera Çözünürlüğü,Kulaklık Girişi,Mobil Bağlantı Hızı,NFC,Parmak İzi Okuyucu,Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza Dayanıklılık,Video Kayıt Çözünürlüğü,Yüz Tanıma,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,urls,prices
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/apple/iphone-11-64gb-beyaz-cep-telefonu-apple-turkiye-garantili-aksesuarsiz-kutu-p-65149494,9.939 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/oppo/a54-128gb-mavi-cep-telefonu-oppo-turkiye-garantili-p-119892252,2.987 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/xiaomi/redmi-note-10s-6gb-128gb-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-136726648,4.195 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/apple/iphone-11-128gb-beyaz-cep-telefonu-apple-turkiye-garantili-aksesuarsiz-kutu-p-64074794,10.780 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/apple/iphone-11-64gb-siyah-cep-telefonu-apple-turkiye-garantili-aksesuarsiz-kutu-p-64074791,9.845 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/oppo/a74-128gb-siyah-cep-telefonu-oppo-turkiye-garantili-p-120860920,3.469 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/oppo/a15s-64gb-mavi-cep-telefonu-turkiye-garantili-p-93963335,2.399 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-m21-64gb-cift-sim-mavi-cep-telefonu-samsung-turkiye-garantili-p-46572189,2.986 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/poco/x3-pro-8gb-256gb-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-100197085,5.620 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/apple/iphone-11-128gb-siyah-cep-telefonu-aksesuarsiz-kutu-p-64074797,10.793 TL
