Isletim_Sistemi,Dahili_Hafiza,Video_Kayit_Cozunurlugu,Ekran_Yenileme_Hizi,Fiyat
iOS,64.0,2160p (Ultra HD) 4K,60.0,9952.0
Android,128.0,1080p (Full HD),60.0,2990.0
Android,128.0,2160p (Ultra HD) 4K,60.0,43845.0
iOS,128.0,2160p (Ultra HD) 4K,60.0,10795.0
iOS,64.0,2160p (Ultra HD) 4K,60.0,9846.0
Android,64.0,1080p (Full HD),60.0,2399.0
Android,128.0,1080p (Full HD),60.0,3469.0
Android,64.0,1080p (Full HD),60.0,2769.0
Android,64.0,2160p (Ultra HD) 4K,60.0,30288.0
Android,256.0,2160p (Ultra HD) 4K,120.0,5625.0
iOS,128.0,2160p (Ultra HD) 4K,60.0,10792.0
Android,128.0,2160p (Ultra HD) 4K,60.0,4325.0
Android,256.0,4320p (Ultra HD) 8K,120.0,9938.0
Android,128.0,1080p (Full HD),60.0,2886.0
Android,128.0,2160p (Ultra HD) 4K,120.0,47590.0
Android,128.0,2160p (Ultra HD) 4K,120.0,71780.0
Android,128.0,,,3286.0
Android,128.0,2160p (Ultra HD) 4K,60.0,3019.0
Android,64.0,1080p (Full HD),60.0,2275.0
Android,128.0,1080p (Full HD),90.0,4178.0
Android,64.0,,,1600.0
Android,128.0,2160p (Ultra HD) 4K,90.0,5356.0
Android,32.0,,60.0,17144.0
Android,64.0,1080p (Full HD),90.0,2749.0
